ihme_region,inputs_mental,inputs_maternal,inputs_all
South Asia,58,270,
Central Sub-Saharan Africa,2,39,
Central Europe,224,430,
Western Europe,1107,1181,
North Africa and Middle East,118,347,
Southern Latin America,60,173,
Central Asia,22,297,
Western Sub-Saharan Africa,15,283,
Caribbean,93,630,
Australasia,122,183,
Eastern Sub-Saharan Africa,30,237,
Eastern Europe,116,287,
Andean Latin America,39,122,
Tropical Latin America,93,146,
High-income Asia Pacific,147,265,
Southern Sub-Saharan Africa,14,90,
High-income North America,292,265,
East Asia,97,148,
Oceania,11,124,
Central Latin America,161,365,
Southeast Asia,49,267,
Other/Duplicates,214,-85,0
Global,3084,6064,
