country,iso_code,indicator_name,indicator_number,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,AFG,"Population ages 00-04, female (% of female population)",SP.POP.0004.FE.5Y,20.19042756,20.00317922,19.74423693,19.46280365,19.1789902,19.0552122,18.90863797,18.73140822,18.50986275,18.24968219,17.88116623,17.42747542,16.93459641,16.45874098,16.03265342,15.64783484,15.33985305,15.08411556,14.84144094
Afghanistan,AFG,"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,19.84953076,19.7080408,19.51068694,19.28139949,19.01251571,18.94919779,18.82506383,18.64259291,18.41655577,18.17832321,17.75445933,17.28824794,16.81286251,16.35865118,15.93936187,15.60424994,15.31420918,15.05471915,14.80476404
Afghanistan,AFG,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,48.8226633,48.64540456,48.4139118,48.15413988,47.85964149,47.98974193,48.12623263,48.22715133,48.25041109,48.17814541,47.70159044,47.08975945,46.38667074,45.64058919,44.87703888,44.27211325,43.682526,43.09017551,42.47227139
Afghanistan,AFG,"Population ages 0-14, female",SP.POP.0014.FE.IN,5137505,5353946,5579221,5792147,5976085,6173716,6354166,6523611,6692548,6868888,7024632,7173441,7311698,7434606,7538168,7640138,7732365,7814407,7885531
Afghanistan,AFG,"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,48.97882954,48.85581897,48.65782035,48.41733607,48.13759456,48.19767288,48.2781768,48.33538275,48.31901895,48.20355859,47.77994905,47.20454784,46.52594278,45.80216573,45.06469222,44.42952369,43.82367254,43.22341557,42.59679246
Afghanistan,AFG,"Population ages 0-14, male",SP.POP.0014.MA.IN,5411609,5640276,5885568,6114719,6301960,6511420,6688305,6846069,7008080,7192150,7341865,7500396,7657098,7796011,7905639,8024702,8122796,8203224,8271659
Afghanistan,AFG,"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,48.67538893,48.44722252,48.18456288,47.90701399,47.59901369,47.79412585,47.98278495,48.12457713,48.18517257,48.15391333,47.62694172,46.98061507,46.25450291,45.48749991,44.69956349,44.12317396,43.54888233,42.96393194,42.35420188
Afghanistan,AFG,"Population ages 0-14, total",SP.POP.0014.TO,10549107,10994236,11464836,11906922,12278045,12685152,13042467,13369664,13700614,14061036,14366485,14673817,14968788,15230627,15443806,15664859,15855184,16017646,16157197
Afghanistan,AFG,"Population ages 05-09, female (% of female population)",SP.POP.0509.FE.5Y,15.90597906,15.95349909,16.01586466,16.05995103,16.04876198,16.18338499,16.27150617,16.29746878,16.26975317,16.20579442,16.05094528,15.89287905,15.72513282,15.53006311,15.28960474,15.09903388,14.85408798,14.55939276,14.24219278
Afghanistan,AFG,"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,15.7424872,15.73916266,15.77138537,15.80659911,15.80752985,15.9900883,16.13442026,16.22316613,16.25349327,16.22926218,16.04935493,15.84970229,15.62773079,15.37920705,15.10159975,14.91565346,14.69236116,14.4348651,14.15991632
Afghanistan,AFG,"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y,12.88242292,12.89914066,12.89771875,12.89458138,12.90984237,12.9590757,13.09803267,13.30650575,13.53940303,13.74808198,13.84783755,13.88419336,13.86621355,13.81336164,13.74243406,13.68265497,13.6297315,13.57990725,13.51315874
Afghanistan,AFG,"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,13.08337098,13.00001907,12.90249057,12.81901539,12.77896814,12.85483976,13.02330086,13.25881809,13.51512353,13.74632794,13.82312746,13.84266484,13.81390961,13.74964168,13.65860187,13.60327056,13.54231198,13.4743477,13.38952152
Afghanistan,AFG,"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,10.46222805,10.57959781,10.66987365,10.72812814,10.76153139,10.60424562,10.47680323,10.41246374,10.43630775,10.55233581,10.82551073,11.13061925,11.42728679,11.67064985,11.84026579,11.89263175,11.89814673,11.88151655,11.87149113
Afghanistan,AFG,"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,10.8366582,10.89884425,10.92621359,10.91579371,10.87881705,10.71151013,10.58730308,10.534739,10.57492563,10.70743255,10.95583814,11.21597953,11.45610216,11.64506063,11.77183907,11.82541216,11.85496879,11.87172207,11.88710933
Afghanistan,AFG,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,48.90546984,49.09874752,49.34294013,49.61243489,49.91287028,49.75843687,49.60312962,49.48568076,49.4439988,49.49372303,49.94394771,50.5239467,51.1931218,51.90783594,52.64429883,53.2079642,53.76322252,54.32489755,54.9119344
Afghanistan,AFG,"Population ages 15-64, female",SP.POP.1564.FE.IN,5097015,5339887,5610866,5883476,6140838,6325597,6487042,6642356,6815684,7023444,7302694,7627966,7986445,8358555,8730445,9076555,9413927,9749139,10092938
Afghanistan,AFG,"Population ages 15-64, female (% of female population)",SP.POP.1564.FE.ZS,48.59281485,48.72752783,48.93380453,49.18076734,49.46468631,49.38339448,49.28775225,49.21519979,49.20803933,49.28818074,49.67126353,50.19553839,50.81951274,51.49431669,52.19236515,52.78268815,53.35402842,53.92489767,54.52097366
Afghanistan,AFG,"Population ages 15-64, male",SP.POP.1564.MA.IN,5469967,5756829,6074051,6384122,6663947,6827103,6955666,7076162,7223806,7421548,7739085,8115939,8533345,8963513,9386355,9750140,10100250,10444774,10796548
Afghanistan,AFG,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,49.20029711,49.44835582,49.72765455,50.01771426,50.33311973,50.11126039,49.90086785,49.74202018,49.66843153,49.68981148,50.20371563,50.83622959,51.54767849,52.29954507,53.07173415,53.61036024,54.15063866,54.7039254,55.28264169
Afghanistan,AFG,"Population ages 15-64, total",SP.POP.1564.TO,10566999,11096695,11684838,12267510,12804786,13152672,13442714,13718557,14039531,14444994,15041825,15743957,16519810,17322057,18116800,18826642,19514114,20193861,20889463
Afghanistan,AFG,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,8.322253723,8.447596003,8.604409625,8.767033719,8.913971384,8.864459673,8.758687792,8.612278569,8.460985256,8.341778508,8.422322057,8.560765029,8.752004573,8.98348269,9.238713618,9.436873642,9.633427011,9.813102903,9.961009138
Afghanistan,AFG,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,8.737933939,8.865406311,8.990191601,9.100453896,9.189932328,9.067354889,8.926312346,8.781120119,8.652084993,8.559921573,8.684337655,8.83890471,9.020302788,9.223987229,9.440355813,9.575249214,9.718139919,9.859701253,9.988106849
Afghanistan,AFG,"Population ages 25-29, female (% of female population)",SP.POP.2529.FE.5Y,6.732471892,6.744761316,6.785172851,6.857774282,6.966118092,7.03757982,7.103391601,7.149112707,7.155879129,7.112480179,7.09715992,7.079371677,7.076530574,7.112548847,7.201288518,7.309121394,7.437189011,7.582571906,7.741214767
Afghanistan,AFG,"Population ages 25-29, male (% of male population)",SP.POP.2529.MA.5Y,6.937129568,7.030618,7.145036028,7.272265168,7.407986475,7.411132616,7.388809934,7.338508231,7.260677988,7.160287032,7.194654734,7.249051887,7.327954744,7.43545509,7.571510976,7.656152523,7.743829946,7.837661079,7.94343925
Afghanistan,AFG,"Population ages 30-34, female (% of female population)",SP.POP.3034.FE.5Y,5.546113073,5.525224416,5.514799668,5.517730014,5.53979632,5.573815055,5.610841927,5.653390391,5.701654733,5.74962166,5.795803987,5.859248943,5.92749849,5.985060006,6.027594066,6.066154556,6.086427857,6.105887428,6.14755378
Afghanistan,AFG,"Population ages 30-34, male (% of male population)",SP.POP.3034.MA.5Y,5.608857688,5.627375322,5.662666601,5.719090178,5.801875634,5.839849335,5.878389867,5.912725011,5.933063372,5.929428681,5.970525115,6.018644432,6.073342492,6.136111139,6.210430231,6.262706195,6.313574668,6.367722526,6.430479033
Afghanistan,AFG,"Population ages 35-39, female (% of female population)",SP.POP.3539.FE.5Y,4.546450371,4.529154456,4.52073335,4.51677398,4.516572839,4.531303453,4.544973807,4.560785729,4.583635934,4.61546181,4.638584415,4.67468702,4.721439228,4.775997734,4.836473155,4.914487841,4.998468045,5.081775258,5.155172069
Afghanistan,AFG,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,4.587671215,4.580674665,4.586039991,4.602887903,4.633267682,4.651532865,4.667590216,4.684253351,4.704616422,4.72799636,4.771960903,4.833855876,4.906828314,4.98250082,5.057246438,5.121429083,5.180118899,5.235556218,5.29074984
Afghanistan,AFG,"Population ages 40-44, female (% of female population)",SP.POP.4044.FE.5Y,3.749357198,3.721410303,3.697830422,3.68047615,3.671454313,3.681989501,3.69829683,3.718882061,3.741797105,3.765615619,3.772031791,3.783922934,3.802062116,3.82790144,3.862325113,3.912710338,3.968176151,4.029398062,4.097513887
Afghanistan,AFG,"Population ages 40-44, male (% of male population)",SP.POP.4044.MA.5Y,3.765041033,3.743918841,3.730042177,3.724265156,3.728963622,3.740831551,3.756855779,3.7753647,3.79478763,3.813633538,3.825820232,3.846062299,3.876423967,3.919375233,3.975717518,4.041739938,4.116269662,4.195035857,4.272471397
Afghanistan,AFG,"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,3.061220819,3.047481272,3.034622241,3.023607683,3.017624892,3.012023873,3.013895575,3.024281715,3.041497024,3.062155006,3.074180358,3.090415872,3.109776216,3.1327392,3.160922497,3.192578169,3.229221984,3.27310843,3.326697808
Afghanistan,AFG,"Population ages 45-49, female (% of female population)",SP.POP.4549.FE.5Y,3.064178733,3.039164979,3.029607708,3.023172436,3.014686752,3.012156455,3.010985314,3.013731799,3.023417286,3.040599645,3.047656619,3.063573043,3.085149937,3.108526176,3.132135545,3.160786958,3.189747115,3.222141152,3.262040954
Afghanistan,AFG,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,2.718929631,2.648086428,2.569238714,2.503844574,2.462707186,2.44061243,2.43462559,2.439815017,2.449094638,2.45873701,2.457874922,2.462645356,2.472467302,2.487105564,2.506331364,2.530135728,2.557349681,2.587544283,2.620193463
Afghanistan,AFG,"Population ages 50-54, male (% of male population)",SP.POP.5054.MA.5Y,2.417808489,2.413772903,2.415627026,2.41959127,2.424340339,2.419535499,2.413212741,2.407764806,2.406378414,2.411180258,2.417257695,2.433974737,2.458071563,2.485529474,2.513863095,2.53542724,2.557668795,2.582500862,2.612504517
Afghanistan,AFG,"Population ages 55-59, female (% of female population)",SP.POP.5559.FE.5Y,1.996532065,2.048360257,2.102372383,2.13650247,2.141746123,2.124510565,2.084674992,2.035815655,1.996216667,1.975149748,1.955570822,1.953646707,1.96361969,1.977938518,1.992744017,2.007550113,2.023596975,2.041979483,2.064522367
Afghanistan,AFG,"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,1.884697215,1.870967332,1.861054535,1.857850913,1.862771045,1.868731235,1.876946431,1.885253651,1.891865783,1.896382078,1.888797804,1.887061558,1.892386971,1.905693181,1.926765812,1.947215686,1.97209037,1.999985021,2.02930128
Afghanistan,AFG,"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y,1.454300112,1.444171865,1.439766159,1.449331574,1.476101909,1.51272191,1.564471174,1.618924117,1.659050834,1.676400752,1.65874827,1.627058434,1.591454043,1.565105867,1.554493973,1.552235824,1.561499844,1.578980644,1.6002621
Afghanistan,AFG,"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,1.36327895,1.36929693,1.376160759,1.381908386,1.387540669,1.388758399,1.391551887,1.398009592,1.408534277,1.421394404,1.420342994,1.422278685,1.426489274,1.433093081,1.44308269,1.452450031,1.464755628,1.480932086,1.501782385
Afghanistan,AFG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.271866861,2.25584792,2.243148067,2.233425234,2.227488227,2.251821196,2.270637747,2.287167908,2.305590109,2.328131562,2.354461852,2.386293853,2.420207459,2.451574871,2.478662289,2.519922544,2.55425147,2.58492694,2.615794214
Afghanistan,AFG,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,254716,264833,276150,287338,297667,309845,320362,330587,342521,357421,374724,395096,417170,438835,458824,479390,497974,515559,533560
