Country Name,iso_code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1447708861,1615844602,1749884031,1922269464,2124386768,2224178896,2291759847,2497125592,2575533499,2645065705,2910162905,2885630125,2835314410,2945022088,3263578403,3406102722,3546046053,3706854418,3775529800,3404108437,3316870714,3502845775,3442855767,3799467166,3816822068,3893070717,3941353655,4098239741,,,
Africa Eastern and Southern,AFE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6535E+11,5.8519E+11,5.87563E+11,6.00698E+11,6.25288E+11,6.66962E+11,7.16611E+11,7.56329E+11,7.79048E+11,8.12626E+11,8.59685E+11,9.10898E+11,9.61599E+11,1.01148E+12,1.09731E+12,1.20199E+12,1.32087E+12,1.4478E+12,1.54376E+12,1.56912E+12,1.66825E+12,1.77051E+12,1.77268E+12,1.89354E+12,2.0254E+12,2.09829E+12,2.21257E+12,2.31915E+12,2.43852E+12,2.53628E+12,2.49535E+12
Afghanistan,AFG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19821201273,21972474902,22883102407,26245649893,28488533288,33298540656,35278625600,43151385722,49924017477,51184181904,59667003515,65039839449,69058343420,71831696728,70097956089,74711922906,77415569870,81879802965,80918342085
Africa Western and Central,AFW,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54456E+11,3.7089E+11,3.89036E+11,3.93919E+11,4.01628E+11,4.18673E+11,4.46299E+11,4.73915E+11,4.96488E+11,5.11414E+11,5.41751E+11,5.82656E+11,6.47924E+11,6.96337E+11,7.71998E+11,8.42562E+11,9.14387E+11,9.89827E+11,1.07186E+12,1.14571E+12,1.23822E+12,1.32419E+12,1.39668E+12,1.52677E+12,1.64512E+12,1.6623E+12,1.67867E+12,1.74409E+12,1.84181E+12,1.93745E+12,1.9463E+12
Angola,AGO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38853486198,40565621896,39067768926,30401925867,31467023359,36945883949,42718061571,46644927780,49382736264,51188559062,53931438612,57432494670,66313630684,69564636251,79261910488,94014137040,1.08044E+11,1.2649E+11,1.43349E+11,1.45683E+11,1.53871E+11,1.62539E+11,1.86124E+11,1.99866E+11,2.20365E+11,2.04604E+11,2.04875E+11,2.17987E+11,2.18749E+11,2.21263E+11,2.11837E+11
Albania,ALB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8374478545,6233346659,5917192040,6636506130,7341010522,8493445677,9436013063,8555908066,9451419206,10792624922,11926129735,13157356090,14221986237,15198230045,16429415677,17663280434,19650777817,21631651452,24251525378,25800311194,28048669278,29655555315,30530372662,30603912536,32529194811,33585844100,34739972823,36696816739,38647380897,39995711225,38138316065
Andorra,AND,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5011E+12,1.66962E+12,1.79312E+12,1.88844E+12,1.98406E+12,2.08016E+12,2.21471E+12,2.34956E+12,2.5077E+12,2.59533E+12,2.83159E+12,2.94104E+12,2.997E+12,3.17854E+12,3.56504E+12,3.87432E+12,4.22125E+12,4.52326E+12,4.87611E+12,4.94083E+12,5.23447E+12,5.52399E+12,5.99151E+12,6.10697E+12,6.11993E+12,5.61092E+12,5.53585E+12,5.85561E+12,6.15171E+12,6.39492E+12,6.16364E+12
United Arab Emirates,ARE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59389E+11,1.66196E+11,1.75669E+11,1.82101E+11,1.98816E+11,2.16561E+11,2.33313E+11,2.56936E+11,2.60586E+11,2.72021E+11,3.08283E+11,3.19453E+11,3.32402E+11,3.68372E+11,4.14478E+11,4.48139E+11,5.0712E+11,5.37325E+11,5.65261E+11,5.39708E+11,5.54748E+11,6.05575E+11,6.31707E+11,6.47296E+11,6.78339E+11,6.01179E+11,5.98811E+11,6.37385E+11,6.60454E+11,6.95178E+11,6.60397E+11
Argentina,ARG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34564E+11,2.64644E+11,2.92159E+11,3.2363E+11,3.49832E+11,3.47006E+11,3.72888E+11,4.10342E+11,4.30937E+11,4.22359E+11,4.28394E+11,4.18489E+11,3.78795E+11,4.19926E+11,4.70169E+11,5.27729E+11,5.87452E+11,6.57569E+11,6.97558E+11,6.61276E+11,7.36718E+11,7.97264E+11,8.19698E+11,8.49616E+11,8.39897E+11,8.67177E+11,8.85228E+11,1.03933E+12,1.03643E+12,1.03356E+12,9.42508E+11
