"","income_level","estimate","income_level_dalymh","percent"
"1","H","Original GBD method",24.52,6.68
"2","UM","Original GBD method",45.645,5.57
"3","LM","Original GBD method",44.925,4.28
"4","L","Original GBD method",10.146,3.36
"5",NA,"Original GBD method",0,4.49
"6","H","Revised - Vigo et al. method",66.054,17.99
"7","UM","Revised - Vigo et al. method",110.012,13.43
"8","LM","Revised - Vigo et al. method",105.067,10.02
"9","L","Revised - Vigo et al. method",19.427,6.44
"10",NA,"Revised - Vigo et al. method",0.001,12.3
"11","H","Revised - Composite method",66.816,18.2
"12","UM","Revised - Composite method",124.201,15.16
"13","LM","Revised - Composite method",132.161,12.6
"14","L","Revised - Composite method",31.835,10.55
"15",NA,"Revised - Composite method",0.001,13.39
