"","income_level","measure_id","estimate","income_level_dalymh","percent"
"1","LM",1,"Original GBD method",0,0
"2","H",1,"Original GBD method",0,0
"3","UM",1,"Original GBD method",0,0
"4","L",1,"Original GBD method",0,0
"5",NA,1,"Original GBD method",0,0
"6","H",2,"Original GBD method",18.146,5.67
"7","UM",2,"Original GBD method",33.824,4.74
"8","LM",2,"Original GBD method",33,3.59
"9","L",2,"Original GBD method",7.368,2.85
"10",NA,2,"Original GBD method",0,3.83
"11","H",3,"Original GBD method",18.136,14
"12","UM",3,"Original GBD method",33.82,14.39
"13","LM",3,"Original GBD method",32.998,14.31
"14","L",3,"Original GBD method",7.368,16.28
"15",NA,3,"Original GBD method",0,12.14
"16","H",4,"Original GBD method",0.009,0
"17","UM",4,"Original GBD method",0.003,0
"18","LM",4,"Original GBD method",0.001,0
"19","L",4,"Original GBD method",0,0
"20",NA,4,"Original GBD method",0,0
"21","LM",1,"Revised - Vigo et al. method",0.418,2.4
"22","H",1,"Revised - Vigo et al. method",0.459,4.24
"23","UM",1,"Revised - Vigo et al. method",0.492,2.68
"24","L",1,"Revised - Vigo et al. method",0.055,1.4
"25",NA,1,"Revised - Vigo et al. method",0,2.77
"26","H",2,"Revised - Vigo et al. method",32.859,10.26
"27","UM",2,"Revised - Vigo et al. method",54.555,7.64
"28","LM",2,"Revised - Vigo et al. method",55.308,6.02
"29","L",2,"Revised - Vigo et al. method",10.48,4.05
"30",NA,2,"Revised - Vigo et al. method",0,6.71
"31","H",3,"Revised - Vigo et al. method",22.64,17.48
"32","UM",3,"Revised - Vigo et al. method",40.928,17.42
"33","LM",3,"Revised - Vigo et al. method",38.282,16.6
"34","L",3,"Revised - Vigo et al. method",8.23,18.18
"35",NA,3,"Revised - Vigo et al. method",0,14.46
"36","H",4,"Revised - Vigo et al. method",9.341,5.04
"37","UM",4,"Revised - Vigo et al. method",12.568,2.86
"38","LM",4,"Revised - Vigo et al. method",16.034,2.5
"39","L",4,"Revised - Vigo et al. method",2.025,1.01
"40",NA,4,"Revised - Vigo et al. method",0,3.21
"41","LM",1,"Revised - Composite method",1.055,6.05
"42","H",1,"Revised - Composite method",0.797,7.37
"43","UM",1,"Revised - Composite method",1.133,6.17
"44","L",1,"Revised - Composite method",0.224,5.74
"45",NA,1,"Revised - Composite method",0,5.79
"46","H",2,"Revised - Composite method",36.39,11.37
"47","UM",2,"Revised - Composite method",68.237,9.56
"48","LM",2,"Revised - Composite method",76.223,8.3
"49","L",2,"Revised - Composite method",19.614,7.59
"50",NA,2,"Revised - Composite method",0,8.14
"51","H",3,"Revised - Composite method",22.64,17.48
"52","UM",3,"Revised - Composite method",40.928,17.42
"53","LM",3,"Revised - Composite method",38.282,16.6
"54","L",3,"Revised - Composite method",8.23,18.18
"55",NA,3,"Revised - Composite method",0,14.46
"56","H",4,"Revised - Composite method",13.749,7.42
"57","UM",4,"Revised - Composite method",27.309,6.21
"58","LM",4,"Revised - Composite method",37.941,5.91
"59","L",4,"Revised - Composite method",11.384,5.66
"60",NA,4,"Revised - Composite method",0,5.79
