"","region","estimate","region_dalymh","percent"
"1","Europe","Original GBD method",14.439,5.69
"2","Asia","Original GBD method",70.012,5.04
"3","Oceania","Original GBD method",0.877,6.81
"4","Americas","Original GBD method",20.359,6.68
"5","Africa","Original GBD method",19.548,3.4
"6","Europe","Revised - Vigo et al. method",39.513,15.56
"7","Asia","Revised - Vigo et al. method",172.024,12.37
"8","Oceania","Revised - Vigo et al. method",1.94,15.06
"9","Americas","Revised - Vigo et al. method",48.06,15.77
"10","Africa","Revised - Vigo et al. method",39.023,6.79
"11","Europe","Revised - Composite method",41.032,16.16
"12","Asia","Revised - Composite method",197.469,14.21
"13","Oceania","Revised - Composite method",2.162,16.78
"14","Americas","Revised - Composite method",54.114,17.76
"15","Africa","Revised - Composite method",60.236,10.48
