"","measure_id","who_region","estimate","region_dalymh","percent"
"1",1,"South-East Asia Region","Original GBD method",0,0
"2",1,"European Region","Original GBD method",0,0
"3",1,"Region of the Americas","Original GBD method",0,0
"4",1,"Western Pacific Region","Original GBD method",0,0
"5",1,"Eastern Mediterranean Region","Original GBD method",0,0
"6",1,"African Region","Original GBD method",0,0
"7",1,NA,"Original GBD method",0,0
"8",2,"European Region","Original GBD method",22.901,6.6
"9",2,"Western Pacific Region","Original GBD method",35.786,6.04
"10",2,"South-East Asia Region","Original GBD method",40.289,5.45
"11",2,"Region of the Americas","Original GBD method",26.639,7.65
"12",2,"African Region","Original GBD method",20.694,3.53
"13",2,"Eastern Mediterranean Region","Original GBD method",17.366,6.22
"14",2,NA,"Original GBD method",0.452,5.87
"15",3,"European Region","Original GBD method",22.896,14.6
"16",3,"Western Pacific Region","Original GBD method",35.78,13.19
"17",3,"Region of the Americas","Original GBD method",26.636,15.88
"18",3,"Eastern Mediterranean Region","Original GBD method",17.366,18.71
"19",3,"African Region","Original GBD method",20.693,15.67
"20",3,"South-East Asia Region","Original GBD method",40.285,13.84
"21",3,NA,"Original GBD method",0.452,12.77
"22",4,"European Region","Original GBD method",0.007,0
"23",4,"Western Pacific Region","Original GBD method",0.007,0
"24",4,"Region of the Americas","Original GBD method",0.004,0
"25",4,"South-East Asia Region","Original GBD method",0.005,0
"26",4,"Eastern Mediterranean Region","Original GBD method",0.001,0
"27",4,NA,"Original GBD method",0,0
"28",4,"African Region","Original GBD method",0.002,0
"29",1,"South-East Asia Region","Revised - Vigo et al. method",0.996,6.59
"30",1,"European Region","Revised - Vigo et al. method",1.378,13.42
"31",1,"Region of the Americas","Revised - Vigo et al. method",0.985,12.65
"32",1,"Western Pacific Region","Revised - Vigo et al. method",1.791,11.17
"33",1,"Eastern Mediterranean Region","Revised - Vigo et al. method",0.254,5.28
"34",1,"African Region","Revised - Vigo et al. method",0.329,3.71
"35",1,NA,"Revised - Vigo et al. method",0.032,13.59
"36",2,"European Region","Revised - Vigo et al. method",74.646,21.52
"37",2,"Western Pacific Region","Revised - Vigo et al. method",116.497,19.65
"38",2,"South-East Asia Region","Revised - Vigo et al. method",118.3,15.99
"39",2,"Region of the Americas","Revised - Vigo et al. method",75.666,21.74
"40",2,"African Region","Revised - Vigo et al. method",50.055,8.53
"41",2,"Eastern Mediterranean Region","Revised - Vigo et al. method",41.484,14.87
"42",2,NA,"Revised - Vigo et al. method",1.732,22.48
"43",3,"European Region","Revised - Vigo et al. method",55.96,35.67
"44",3,"Western Pacific Region","Revised - Vigo et al. method",90.272,33.27
"45",3,"Region of the Americas","Revised - Vigo et al. method",61.573,36.71
"46",3,"Eastern Mediterranean Region","Revised - Vigo et al. method",35.493,38.24
"47",3,"African Region","Revised - Vigo et al. method",41.923,31.74
"48",3,"South-East Asia Region","Revised - Vigo et al. method",93.984,32.3
"49",3,NA,"Revised - Vigo et al. method",1.236,34.91
"50",4,"European Region","Revised - Vigo et al. method",19.596,9.71
"51",4,"Western Pacific Region","Revised - Vigo et al. method",27.666,7.83
"52",4,"Region of the Americas","Revised - Vigo et al. method",14.724,7.75
"53",4,"South-East Asia Region","Revised - Vigo et al. method",25.102,5.19
"54",4,"Eastern Mediterranean Region","Revised - Vigo et al. method",6.325,3.17
"55",4,NA,"Revised - Vigo et al. method",0.52,11.01
"56",4,"African Region","Revised - Vigo et al. method",8.708,1.81
"57",1,"South-East Asia Region","Revised - Composite method",1.242,8.22
"58",1,"European Region","Revised - Composite method",0.884,8.6
"59",1,"Region of the Americas","Revised - Composite method",0.753,9.68
"60",1,"Western Pacific Region","Revised - Composite method",1.143,7.13
"61",1,"Eastern Mediterranean Region","Revised - Composite method",0.434,9.04
"62",1,"African Region","Revised - Composite method",0.6,6.75
"63",1,NA,"Revised - Composite method",0.017,7.23
"64",2,"European Region","Revised - Composite method",72.814,20.99
"65",2,"Western Pacific Region","Revised - Composite method",115.509,19.49
"66",2,"South-East Asia Region","Revised - Composite method",133.799,18.09
"67",2,"Region of the Americas","Revised - Composite method",79.801,22.93
"68",2,"African Region","Revised - Composite method",74.024,12.62
"69",2,"Eastern Mediterranean Region","Revised - Composite method",53.096,19.03
"70",2,NA,"Revised - Composite method",1.578,20.47
"71",3,"European Region","Revised - Composite method",55.96,35.67
"72",3,"Western Pacific Region","Revised - Composite method",90.272,33.27
"73",3,"Region of the Americas","Revised - Composite method",61.573,36.71
"74",3,"Eastern Mediterranean Region","Revised - Composite method",35.493,38.24
"75",3,"African Region","Revised - Composite method",41.923,31.74
"76",3,"South-East Asia Region","Revised - Composite method",93.984,32.3
"77",3,NA,"Revised - Composite method",1.236,34.91
"78",4,"European Region","Revised - Composite method",16.854,8.35
"79",4,"Western Pacific Region","Revised - Composite method",25.237,7.14
"80",4,"Region of the Americas","Revised - Composite method",18.228,9.59
"81",4,"South-East Asia Region","Revised - Composite method",39.815,8.23
"82",4,"Eastern Mediterranean Region","Revised - Composite method",17.603,8.81
"83",4,NA,"Revised - Composite method",0.342,7.23
"84",4,"African Region","Revised - Composite method",32.101,6.66
