<<<<<<< HEAD
"","name","location_name","val_GBD 2019","lower_GBD 2019","upper_GBD 2019","val_2016 reallocation method","lower_2016 reallocation method","upper_2016 reallocation method","val_Composite method","lower_Composite method","upper_Composite method"
"1","cost_cc1","Global",0.13,0.09,0.16,0.32,0.2,0.51,0.42,0.28,0.61
"2","cost_cc1","High income",0.02,0.02,0.03,0.07,0.05,0.12,0.08,0.05,0.12
"3","cost_cc1","Upper-middle income",0.05,0.03,0.06,0.12,0.07,0.19,0.16,0.1,0.24
"4","cost_cc1","Lower-middle income",0.04,0.03,0.06,0.11,0.06,0.17,0.15,0.09,0.23
"5","cost_cc1","Low income",0.01,0.01,0.01,0.02,0.01,0.03,0.03,0.02,0.05
"6","cost_cc1","Andean Latin America",0,0,0,0,0,0,0,0,0
"7","cost_cc1","Australasia",0,0,0,0,0,0,0,0,0
"8","cost_cc1","Caribbean",0,0,0,0,0,0,0,0,0
"9","cost_cc1","Central Asia",0,0,0,0,0,0.01,0,0,0.01
"10","cost_cc1","Central Europe",0,0,0,0.01,0,0.01,0.01,0,0.01
"11","cost_cc1","Central Latin America",0,0,0.01,0.01,0.01,0.02,0.01,0.01,0.02
"12","cost_cc1","Central Sub-Saharan Africa",0,0,0,0,0,0.01,0.01,0,0.01
"13","cost_cc1","East Asia",0.02,0.02,0.03,0.06,0.03,0.09,0.07,0.05,0.11
"14","cost_cc1","Eastern Europe",0,0,0,0.01,0.01,0.02,0.02,0.01,0.02
"15","cost_cc1","Eastern Sub-Saharan Africa",0.01,0,0.01,0.01,0.01,0.02,0.02,0.01,0.02
"16","cost_cc1","High-income Asia Pacific",0,0,0,0.01,0.01,0.02,0.01,0.01,0.01
"17","cost_cc1","High-income North America",0.01,0.01,0.01,0.03,0.02,0.04,0.03,0.02,0.04
"18","cost_cc1","North Africa and Middle East",0.01,0.01,0.01,0.02,0.01,0.04,0.03,0.02,0.05
"19","cost_cc1","Oceania",0,0,0,0,0,0,0,0,0
"20","cost_cc1","South Asia",0.03,0.02,0.04,0.07,0.04,0.11,0.1,0.06,0.14
"21","cost_cc1","Southeast Asia",0.01,0.01,0.01,0.02,0.01,0.04,0.03,0.02,0.05
"22","cost_cc1","Southern Latin America",0,0,0,0,0,0,0,0,0.01
"23","cost_cc1","Southern Sub-Saharan Africa",0,0,0,0,0,0,0,0,0.01
"24","cost_cc1","Tropical Latin America",0.01,0,0.01,0.01,0.01,0.02,0.02,0.01,0.02
"25","cost_cc1","Western Europe",0.01,0.01,0.01,0.03,0.02,0.04,0.03,0.02,0.04
"26","cost_cc1","Western Sub-Saharan Africa",0.01,0,0.01,0.01,0.01,0.02,0.02,0.01,0.03
"27","cost_cc2","Global",0.63,0.46,0.82,1.61,0.99,2.53,2.09,1.38,3.04
"28","cost_cc2","High income",0.12,0.09,0.16,0.37,0.23,0.59,0.4,0.26,0.6
"29","cost_cc2","Upper-middle income",0.23,0.17,0.3,0.59,0.35,0.96,0.78,0.5,1.18
"30","cost_cc2","Lower-middle income",0.22,0.17,0.29,0.54,0.32,0.87,0.74,0.45,1.13
"31","cost_cc2","Low income",0.05,0.04,0.07,0.1,0.06,0.16,0.16,0.1,0.25
"32","cost_cc2","Andean Latin America",0.01,0,0.01,0.01,0.01,0.02,0.02,0.01,0.02
"33","cost_cc2","Australasia",0,0,0,0.01,0.01,0.01,0.01,0.01,0.01
"34","cost_cc2","Caribbean",0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.02
"35","cost_cc2","Central Asia",0.01,0,0.01,0.02,0.01,0.03,0.02,0.01,0.04
"36","cost_cc2","Central Europe",0.01,0.01,0.01,0.03,0.02,0.05,0.03,0.02,0.05
"37","cost_cc2","Central Latin America",0.02,0.02,0.03,0.05,0.03,0.08,0.07,0.04,0.11
"38","cost_cc2","Central Sub-Saharan Africa",0.01,0.01,0.01,0.02,0.01,0.03,0.03,0.02,0.05
"39","cost_cc2","East Asia",0.1,0.08,0.14,0.28,0.16,0.46,0.36,0.23,0.55
"40","cost_cc2","Eastern Europe",0.02,0.01,0.02,0.07,0.05,0.1,0.08,0.05,0.12
"41","cost_cc2","Eastern Sub-Saharan Africa",0.03,0.02,0.04,0.06,0.03,0.09,0.08,0.05,0.12
"42","cost_cc2","High-income Asia Pacific",0.01,0.01,0.02,0.05,0.03,0.08,0.05,0.03,0.07
"43","cost_cc2","High-income North America",0.04,0.03,0.05,0.14,0.09,0.2,0.14,0.1,0.21
"44","cost_cc2","North Africa and Middle East",0.05,0.04,0.07,0.11,0.06,0.18,0.16,0.1,0.24
"45","cost_cc2","Oceania",0,0,0,0,0,0,0,0,0.01
"46","cost_cc2","South Asia",0.14,0.11,0.19,0.35,0.22,0.56,0.48,0.3,0.72
"47","cost_cc2","Southeast Asia",0.05,0.03,0.06,0.12,0.06,0.2,0.16,0.09,0.26
"48","cost_cc2","Southern Latin America",0.01,0,0.01,0.02,0.01,0.02,0.02,0.01,0.03
